name;unitDetalPrice;productType
Taśma kalenicowa Vent-roll 300 mm aluminiowa;10.5;PODSTAWOWY
Taśma kalenicowa Vent-roll 300 mm miedziana;29.04;BRAK
Taśma kalenicowa Vent-roll 390 mm aluminiowa;14.52;PREMIUM
Taśma kalenicowa Vent-roll 390 mm miedziana;48.39;BRAK
Taśma kalenicowa Vental Respiro;21.3;LUX
Taśma kalenicowa aluminiowa;17.74;BRAK
Taśma kalenicowa Blach-vent i Blach-vent plus;14.67;BRAK
Wywietrznik kalenicowy ze szczotką WK 62, WK 75;31.29;BRAK
Wywietrznik kalenicowy do gontów bitumicznych;80.65;BRAK
Wspornik łaty kalenicowej gwódź 210mm ocynk ogniowy;2.49;PODSTAWOWY
Wspornik łaty kalenicowej gwódź 230mm ocynk ogniowy;2.97;BRAK
Wspornik łaty kalenicowej typu BL - blaszka;3;PREMIUM
Wspornik łaty kalenicowej gwódź 210mm ocynk galwaniczny;2.25;LUX
Wspornik łaty kalenicowej gwódź do 260mm ocynk ogniowy;2.97;BRAK
Taśma do obróbki komina aluminiowa Eurotec Classic;29.7;PODSTAWOWY
Taśma do obróbki komina aluminiowa Eurotec Fortis AL;29.7;BRAK
Taśma do obróbki komina ołowiana Eurotec PB3;64.5;PREMIUM
Taśma do obróbki komina ołowiana Eurotec PB;73.8;BRAK
Taśma do obróbki komina ołowiana Eurotec Fortis PB;73.8;LUX
Taśma do obróbki komina ołowiana Eurotec N;87;BRAK
Listwa wykończeniowa aluminiowa;19.5;PODSTAWOWY
Kosz dachowy aluminiowy 2mb;56;PODSTAWOWY
Kosz dachowy aluminiowy 6mb rolka;168;PREMIUM
Klamra do mocowania kosza;0.6;PODSTAWOWY
Samoprzylepny klin uszczelniający kosz 60 mm;2.25;PODSTAWOWY
Taśma samorozprężna 20x6/50;64.52;PREMIUM
Taśma samorozprężna 20x8/40;70.97;LUX
Grzebień okapowy płaski ECO 55;2.25;PODSTAWOWY
Grzebień okapowy płaski 55;2.58;PREMIUM
Grzebień okapowy z kratką wentylacyjną;5.82;LUX
Okapowa kratka wentylacyjna;6.26;BRAK
Kratka zabezpieczająca przed ptactwem 80mm;2.79;PODSTAWOWY
Kratka zabezpieczająca przed ptactwem 100mm;4.68;PREMIUM
Pas okapowy aluminiowy;37.11;PODSTAWOWY
Pas okapowy w rolce 10mb aluminiowy ;80.65;PREMIUM
Klamra do gąsiora betonowego;0.75;PODSTAWOWY
Klamra do gąsiora Tondach/Meindl, Roben/Jungmeier i Rupp Sattel/ Konisch;0.93;PREMIUM
Klamra do gąsiora Koramic karpiówka nr 1, nr 2, nr 3, W11, GE20, Erlus 18, Bogen nr 1, nr 2;1.47;LUX
Klamra do gąsiora Meyer Holsen;2.43;BRAK
Spinka do dachówki cementowej U (opak. 100 szt);13.56;PODSTAWOWY
Spinka boczna do dachówki cementowej (opak. 250 szt) NORD II , NORD III;80.64;PREMIUM
Spinka uniwersalna do dachówki ceramicznej (opak. 250 szt) MD-1.416,MD-PL;100.8;BRAK
Spinka uniwersalna do dachówki ceramicznej (opak. 100 szt) MD-R30, MD-R32;48.39;LUX
Spinka boczna 1.409 do dachówki (opak. 100 szt) Creaton, Koramic, Roben, cementowa;61.29;BRAK
Spinka do dachówki ciętej (opak. 100 szt) mdm ;2.24;PODSTAWOWY
Spinka do dachówki ciętej (opak. 100 szt) Braas;3.19;PREMIUM
Ława kominiarska stalowa komplet 0,4m DB/DC kolor;110.45;PODSTAWOWY
Ława kominiarska stalowa komplet 0,4m karp kolor;136.44;PREMIUM
Ława kominiarska stalowa komplet 0,4m BD kolor;110.45;LUX
Ława kominiarska stalowa komplet 0,4m L kolor;136.44;BRAK
Ława kominiarska stalowa komplet 0,8m DB/DC kolor;82.37;PODSTAWOWY
Ława kominiarska stalowa komplet 0,8m karp kolor;108.36;PREMIUM
Ława kominiarska stalowa komplet 0,8m BD kolor;102.53;BRAK
Ława kominiarska stalowa komplet 0,8m L kolor;128.52;LUX
Stopień kominiarski;91.2;PODSTAWOWY
Płotek przeciwśniegowy 155 mm x 2 mb / 3 wsporniki ocynk;87.65;PODSTAWOWY
Płotek przeciwśniegowy 155 mm x 2 mb / 3 wsporniki kolor;106.7;PREMIUM
Płotek przeciwśniegowy 155 mm x 3 mb / 4 wsporniki kolor;123.42;PODSTAWOWY
Płotek przeciwśniegowy 155 mm x 3 mb / 4 wsporniki ocynk;102.39;PREMIUM
Membrana dachowa Ventia Iron 120;4.08;PODSTAWOWY
Membrana dachowa Ventia Cobalt 170;6.08;PREMIUM
Membrana Vaxo L;3.5;BRAK
Membrana Permo forte Klober;9.58;LUX
Membrana Vaxo S;2.92;BRAK
Taśma do łączenia membran i folii Ventia 20mmx25m;26.25;PODSTAWOWY
Taśma do łączenia membran i folii Ventia 50mmx25m;82.5;PREMIUM
Taśma monażowa jednostronna Permo TR 60mmx25m;113.33;LUX
Taśma reperacyjna Ventia i Vaxo 100mmx25m;63;PODSTAWOWY
Taśma reperacyjna Ventia i Vaxo 50mmx25m;127.5;PREMIUM
Blacha aluminiowa 0,58 - arkusze 1000 x 2000;97;PODSTAWOWY
Blacha aluminiowa 0,58 - kręgi ok. 1000kg;29;PREMIUM
Blacha aluminiowa 0,48 - arkusze 1000 x 2000;92;LUX
Cegła klinkierowa;10.71;PODSTAWOWY
Podbitka;25.5;PODSTAWOWY
